timestamp,YT.11FI_02044.PV,YT.11PIC_02044.PV,YT.11TI_02044.PV,YT.11PIC_02044.MV
2025/7/3 10:15:52,36656.56641,0.447397671,155.8165436,NaN
2025/7/3 10:16:02,36668.77734,0.447367925,155.8165436,0
2025/7/3 10:16:12,36750.73047,0.447333515,155.8165436,NaN
2025/7/3 10:16:22,36860.83984,0.447261959,155.8145803,NaN
2025/7/3 10:16:32,36903.40625,0.447147518,155.8094665,NaN
2025/7/3 10:16:42,36928.54688,0.447004467,155.8023665,NaN
2025/7/3 10:16:52,36959.82031,0.446875751,155.7944446,NaN
2025/7/3 10:17:02,36946.73828,0.446775585,155.7868651,0
2025/7/3 10:17:12,37028.03516,0.44670409,155.7807922,NaN
2025/7/3 10:17:22,36984.40625,0.446632534,155.7781032,NaN
2025/7/3 10:17:32,37070.01953,0.446432263,155.7787629,NaN
2025/7/3 10:17:42,37092.10547,0.446332157,155.7810663,NaN
2025/7/3 10:17:52,37068.66016,0.44614616,155.7833089,NaN
2025/7/3 10:18:02,37062.3125,0.446074665,155.7837858,0
2025/7/3 10:18:12,36996.74609,0.445988834,155.7807922,NaN
2025/7/3 10:18:22,37063.98828,0.445860058,155.7539877,NaN
2025/7/3 10:18:32,37121.09375,0.445659786,155.7235718,NaN
2025/7/3 10:18:42,37088.64844,0.445545346,155.713507,NaN
2025/7/3 10:18:52,37155.76563,0.44547376,155.70697,0
2025/7/3 10:19:02,37042.42969,0.445273489,155.7018872,NaN
2025/7/3 10:19:12,36990.39453,0.445187658,155.696185,NaN
2025/7/3 10:19:22,36930.16016,0.445110345,155.6877899,NaN
2025/7/3 10:19:32,36953.55078,0.445044607,155.6738803,NaN
2025/7/3 10:19:42,36968.43359,0.444999433,155.6589777,NaN
2025/7/3 10:19:52,36984.34375,0.444958776,155.6520233,0
2025/7/3 10:20:02,37033.5,0.444913409,155.6520233,NaN
2025/7/3 10:20:12,36917.94141,0.444872946,155.6520233,NaN
2025/7/3 10:20:22,36991.87109,0.444848908,155.6520233,NaN
2025/7/3 10:20:32,36925.82813,0.444842071,155.6520233,NaN
2025/7/3 10:20:42,36867.04297,0.444851039,155.6520233,NaN
2025/7/3 10:20:52,36805.26563,0.444874411,155.6520233,0
2025/7/3 10:21:02,36658.33984,0.44491079,155.6520233,NaN
2025/7/3 10:21:12,36444.12109,0.444958776,155.6520233,NaN
2025/7/3 10:21:22,36428.37891,0.445101827,155.6520233,NaN
2025/7/3 10:21:32,36339.03516,0.445202023,155.6520233,NaN
2025/7/3 10:21:42,36195.75,0.445402294,155.6520233,NaN
2025/7/3 10:21:52,36123.35156,0.445530981,155.6606787,0
2025/7/3 10:22:02,36077.98828,0.445731252,155.6798726,NaN
2025/7/3 10:22:12,36095.30469,0.445902914,155.699447,NaN
2025/7/3 10:22:22,35981.56641,0.446103275,155.7092438,NaN
2025/7/3 10:22:32,35936.47266,0.446303546,155.6734772,NaN
2025/7/3 10:22:42,35907.06641,0.446475208,155.689351,NaN
2025/7/3 10:22:52,35984.96484,0.446646869,155.7092438,0
